Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,4
Female,Yes,38,Yes,Engineer,1.0,Average,3.0,Cat_4,1
Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,2
Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,2
Female,Yes,40,Yes,Entertainment,1.0,High,6.0,Cat_6,1
Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,3
Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,3
Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,4
Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,4
Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,3
Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,1
Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,4
Female,No,19,No,Executive,0.0,Low,3.0,Cat_3,4
Male,Yes,70,No,Lawyer,1.0,Low,1.0,Cat_6,1
Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,2
Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,3
Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,4
Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,2
Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,2
Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,3
Male,Yes,49,Yes,Homemaker,10.0,Low,1.0,Cat_3,1
Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,4
Male,Yes,33,Yes,Artist,10.0,Low,2.0,Cat_3,1
Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,2
Female,No,58,No,Executive,1.0,Average,3.0,Cat_3,2
Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,3
Male,No,31,No,Healthcare,9.0,Low,7.0,Cat_4,1
Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,3
